batch_id	topic	n_posts	status	session	completed_at
89	MCP-协议栈	3	done	session-1	2026-07-21
90	MCP-协议栈	2	done	session-1	2026-07-21
91	Prompt-Engineering-与上下文工程	1	done	session-1	2026-07-21
92	Prompt-Engineering-与上下文工程	5	done	session-1	2026-07-21
93	RAG-检索增强生成	5	done	session-1	2026-07-21
94	RAG-检索增强生成	12	done	session-1	2026-07-21
95	RAG-检索增强生成	7	done	session-1	2026-07-21
96	Web-开发与在线工具	10	done	session-1	2026-07-21
97	Web-开发与在线工具	12	done	session-1	2026-07-21
98	Web-开发与在线工具	7	done	session-1	2026-07-21
99	macOS-与-Apple-Silicon	12	done	session-1	2026-07-21
100	macOS-与-Apple-Silicon	12	done	session-1	2026-07-21
101	macOS-与-Apple-Silicon	8	done	session-1	2026-07-21
102	个人理财与投资	7	done	session-1	2026-07-21
103	个人理财与投资	2	done	session-1	2026-07-21
104	主流-LLM-与厂商	8	done	session-1	2026-07-21
105	主流-LLM-与厂商	3	done	session-1	2026-07-21
106	主流-LLM-与厂商	1	done	session-1	2026-07-21
107	主流-LLM-与厂商	1	done	session-1	2026-07-21
108	主流-LLM-与厂商	8	done	session-1	2026-07-21
109	主流-LLM-与厂商	7	done	session-1	2026-07-21
110	主流-LLM-与厂商	5	done	session-1	2026-07-21
111	主流-LLM-与厂商	2	done	session-1	2026-07-21
112	具身智能与机器人	12	done	session-1	2026-07-21
113	具身智能与机器人	3	done	session-1	2026-07-21
114	具身智能与机器人	2	done	session-1	2026-07-21
115	办公自动化与效率工具	12	done	session-1	2026-07-21
116	办公自动化与效率工具	8	done	session-1	2026-07-21
117	华为昇腾与国产芯片	2	done	session-1	2026-07-21
118	华为昇腾与国产芯片	1	done	session-1	2026-07-21
119	华为昇腾与国产芯片	6	done	session-1	2026-07-21
120	华为昇腾与国产芯片	7	done	session-1	2026-07-21
121	华为昇腾与国产芯片	2	done	session-1	2026-07-21
122	向量数据库与语义搜索	5	done	session-1	2026-07-21
123	图像生成与扩散模型	4	done	session-1	2026-07-21
124	多模态大模型	3	done	session-1	2026-07-21
125	多模态大模型	1	done	session-1	2026-07-21
126	多模态大模型	4	done	session-1	2026-07-21
127	引用链接与科技评论	2	done	session-1	2026-07-21
128	引用链接与科技评论	3	done	session-1	2026-07-21
129	引用链接与科技评论	5	done	session-1	2026-07-21
130	引用链接与科技评论	4	done	session-1	2026-07-21
131	微调与模型训练	9	done	session-1	2026-07-21
132	微调与模型训练	10	done	session-1	2026-07-21
133	微调与模型训练	10	done	session-1	2026-07-21
134	数据集标注与模型评估	2	done	session-1	2026-07-21
135	浏览器扩展与桌面应用开发	1	done	session-1	2026-07-21
136	物联网与嵌入式开发	10	done	session-1	2026-07-21
137	网络与分布式存储	4	done	session-1	2026-07-21
138	计算机视觉与目标检测	12	done	session-1	2026-07-21
139	计算机视觉与目标检测	6	done	session-1	2026-07-21
140	计算机视觉与目标检测	8	done	session-1	2026-07-21
141	计算机视觉与目标检测	5	done	session-1	2026-07-21
142	计算机视觉与目标检测	1	done	session-1	2026-07-21
143	语言学习与教育	3	done	session-1	2026-07-21
144	语音与音频处理	9	done	session-1	2026-07-21
145	语音与音频处理	1	done	session-1	2026-07-21
146	语音与音频处理	2	done	session-1	2026-07-21
147	语音与音频处理	2	done	session-1	2026-07-21
148	语音与音频处理	1	done	session-1	2026-07-21
149	语音与音频处理	6	done	session-1	2026-07-21
